Rk;Squad;Country;LgRk;MP;W;D;L;GF;GA;GD;Pts;Pts/G;xG;xGA;xGD;xGD/90;Last 5;Attendance;Top Team Scorer;Goalkeeper
55;Eint Frankfurt;GER;11;34;10;12;12;45;49;-4;42;1.24;44.2;51.5;-7.3;-0.21;L D L D D;26162;Rafael Borré - 8;Kevin Trapp
56;Brentford;ENG;11;37;13;7;17;47;54;-7;46;1.24;46.7;47.8;-1.1;-0.03;W D L W W;16916;Ivan Toney - 12;David Raya
57;Wolfsburg;GER;12;34;12;6;16;43;54;-11;42;1.24;48.8;49.8;-1;-0.03;L W D W D;12018;Lukas Nmecha - 8;Koen Casteels
58;Bochum;GER;13;34;12;6;16;38;52;-14;42;1.24;40.9;56.8;-15.9;-0.47;L L W W L;15125;Sebastian Polter - 10;Manuel Riemann
59;Aston Villa;ENG;13;36;13;5;18;49;50;-1;44;1.22;42.4;44.6;-2.2;-0.06;D W W L D;41748;Ollie Watkins - 11;Emiliano Martínez
60;Valencia;ESP;11;37;10;15;12;46;53;-7;45;1.22;37.8;46.1;-8.4;-0.23;L D D L D;27969;Gonçalo Guedes Carlos Soler - 11;Giorgi Mamardashvili
61;Udinese;ITA;12;37;10;14;13;57;58;-1;44;1.19;50.6;50.2;0.4;0.01;D W L D L;11655;Gerard Deulofeu - 12;Marco Silvestri
62;Newcastle Utd;ENG;14;36;11;10;15;40;61;-21;43;1.19;36.5;53.5;-16.9;-0.47;W W W L L;51443;Callum Wilson - 6;Martin Dúbravka
63;Montpellier;FRA;13;37;12;7;18;49;59;-10;43;1.16;42.4;56.5;-14.1;-0.38;L L D L L;10218;Sepe Elye Wahi - 10;Jonas Omlin
64;Bologna;ITA;13;37;11;10;16;43;55;-12;43;1.16;43.1;53.2;-10.1;-0.27;D W D L L;13845;Marko Arnautovi? - 14;?ukasz Skorupski
65;Rayo Vallecano;ESP;12;37;11;9;17;37;46;-9;42;1.14;42.8;44;-1.3;-0.03;W D D L L;7834;Sergi Guardiola - 7;Stole Dimitrievski
66;Augsburg;GER;14;34;10;8;16;39;56;-17;38;1.12;38.1;58.3;-20.1;-0.59;L W L L W;15197;Michael Gregoritsch - 9;Rafa? Gikiewicz
67;Espanyol;ESP;13;37;10;11;16;40;53;-13;41;1.11;37.5;50;-12.5;-0.34;L L D L D;17277;Raúl de Tomás - 17;Diego López
68;Southampton;ENG;15;36;9;13;14;41;61;-20;40;1.11;45.6;54.7;-9.1;-0.25;W L D L L;30053;James Ward-Prowse - 9;Fraser Forster
69;Getafe;ESP;14;37;8;15;14;32;38;-6;39;1.05;28.3;36.5;-8.2;-0.22;W D D D D;8702;Enes Ünal - 15;David Soria
70;Elche;ESP;15;37;10;9;18;37;51;-14;39;1.05;32.3;59.8;-27.5;-0.74;W D L L L;15546;Pere Milla - 8;Édgar Badía
71;Angers;FRA;14;37;9;11;17;42;55;-13;38;1.03;42.6;47.7;-5;-0.14;L D L W L;7370;Sofiane Boufal - 8;Danijel Petkovi?
72;Empoli;ITA;14;37;9;11;17;49;70;-21;38;1.03;46.2;64.1;-17.9;-0.48;L W L L D;6320;Andrea Pinamonti - 13;Guglielmo Vicario
73;Troyes;FRA;15;37;9;10;18;36;52;-16;37;1;39;49.6;-10.6;-0.29;L L W D L;8963;Xavier Chavalerin Ike Ugbo - 5;Gauthier Gallon
74;Granada;ESP;16;37;8;13;16;44;61;-17;37;1;39.5;61;-21.6;-0.58;D D W W L;13475;Jorge Molina - 10;Luís Maximiano
75;Everton;ENG;16;36;10;6;20;39;59;-20;36;1;40.9;50;-9.2;-0.25;L W W D L;38446;Richarlison - 9;Jordan Pickford
76;Cádiz;ESP;18;37;7;15;15;34;51;-17;36;0.97;39.6;52.5;-12.9;-0.35;L D W L D;14055;Álvaro Negredo - 7;Jeremías Ledesma
77;Stuttgart;GER;15;34;7;12;15;41;59;-18;33;0.97;45.3;51.5;-6.3;-0.18;D L D D W;27052;Sasa Kalajdzic - 6;Florian Müller
78;Spezia;ITA;15;37;10;6;21;41;68;-27;36;0.97;37.3;66.6;-29.3;-0.79;L L L L W;6380;Daniele Verde - 8;Ivan Provedel
79;Mallorca;ESP;17;37;9;9;19;34;63;-29;36;0.97;38.7;47.5;-8.9;-0.24;W L L D W;12712;Vedat Muriqi Salva Sevilla - 5;Manolo Reina
80;Clermont Foot;FRA;16;37;9;9;19;37;67;-30;36;0.97;42.7;51;-8.3;-0.22;W D L W L;10425;Mohamed Bayo - 13;Ouparine Djoco
81;Hertha BSC;GER;16;34;9;6;19;37;71;-34;33;0.97;34.1;55.3;-21.2;-0.62;W W D L L;23500;Stevan Joveti? - 6;Alexander Schwolow
82;Lorient;FRA;17;37;8;11;18;34;62;-28;35;0.95;42.5;51.7;-9.1;-0.25;W L L L D;12393;Terem Moffi - 8;Paul Nardi
83;Leeds United;ENG;17;37;8;11;18;40;78;-38;35;0.95;45.8;69.1;-23.4;-0.63;D L L L D;36308;Raphael Dias Belloli - 10;Illan Meslier
84;Burnley;ENG;18;36;7;13;16;32;50;-18;34;0.94;35.9;53.6;-17.8;-0.49;W W W L L;19163;Maxwel Cornet - 8;Nick Pope
85;Sampdoria;ITA;16;36;9;6;21;42;59;-17;33;0.92;34.5;53.3;-18.8;-0.52;L L D W L;8756;Francesco Caputo - 11;Emil Audero
86;Levante;ESP;19;37;7;11;19;47;74;-27;32;0.86;54;53.8;0.3;0.01;L D W L W;14961;José Luis Morales - 13;Cárdenas
87;Metz;FRA;18;37;6;13;18;35;64;-29;31;0.84;29.8;58.8;-29.1;-0.79;L L D W W;14413;Nicolas de Préville - 5;Alexandre Oukidja
88;Alavés;ESP;20;37;8;7;22;31;64;-33;31;0.84;36.6;56.7;-20.2;-0.55;L W L W L;10942;Joselu - 14;Fernando Pacheco
89;Saint-Étienne;FRA;19;37;7;10;20;41;76;-35;31;0.84;39.4;59.1;-19.6;-0.53;D L L L L;21806;Wahbi Khazri - 10;Paul Bernardoni
90;Salernitana;ITA;17;37;7;10;20;33;74;-41;31;0.84;35.9;63.5;-27.6;-0.75;W D W D D;12900;Federico Bonazzoli - 10;Vid Belec
91;Arminia;GER;17;34;5;13;16;27;53;-26;28;0.82;28.2;62.3;-34.1;-1;L L D L D;16773;Masaya Okugawa - 8;Stefan Ortega
92;Cagliari;ITA;18;37;6;11;20;34;68;-34;29;0.78;37.4;60.8;-23.4;-0.63;W L L D L;9400;João Pedro - 13;Alessio Cragno
93;Genoa;ITA;19;37;4;16;17;27;59;-32;28;0.76;36.8;50.6;-13.8;-0.37;L W L W L;11628;Mattia Destro - 9;Salvatore Sirigu
94;Bordeaux;FRA;20;37;5;13;19;48;89;-41;28;0.76;41.3;68.5;-27.2;-0.73;D L L L D;22083;Hwang Ui-jo - 11;Benoît Costil
95;Venezia;ITA;20;37;6;8;23;34;69;-35;26;0.7;35.4;70.5;-35.1;-0.95;L L L W D;6705;Thomas Henry - 9;Sergio Romero
96;Watford;ENG;19;37;6;5;26;33;75;-42;23;0.62;37.8;64.1;-26.3;-0.71;L L L D L;20614;Emmanuel Dennis - 10;Ben Foster
97;Norwich City;ENG;20;37;5;7;25;23;79;-56;22;0.59;33;73.3;-40.4;-1.09;L L L L D;26826;Teemu Pukki - 11;Tim Krul
98;Greuther Fürth;GER;18;34;3;9;22;28;82;-54;18;0.53;30.7;60.3;-29.6;-0.87;D L D L L;7672;Branimir Hrgota - 9;Sascha Burchert
